spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
5o0osRx8kYJTOqlOSggr9Z,Carry You Home,Alex Warren,42,5,8,IE,30/12/2024,81,FALSE,166880,"You'll Be Alright, Kid (Chapter 1)",27/09/2024,0.525,0.66,10,-7.094,1,0.111,0.468,3.30E-06,0.128,0.458,123.787,4
4zOfy9kqJlG0ZXvcaSh4gv,Viva La Vida,Coldplay,43,-1,7,IE,30/12/2024,68,FALSE,242373,Viva La Vida or Death and All His Friends,12/06/2008,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23E-06,0.109,0.417,138.015,4
0bYg9bo50gSsH3LtXe2SQn,All I Want for Christmas Is You,Mariah Carey,44,-18,-41,IE,30/12/2024,98,FALSE,241106,Merry Christmas,28/10/1994,0.336,0.627,7,-7.463,1,0.0384,0.164,0,0.0708,0.35,150.273,4
59NraMJsLaMCVtwXTSia8i,Prada,"cassö, RAYE, D-Block Europe",45,0,5,IE,30/12/2024,82,TRUE,132359,Prada,11/08/2023,0.638,0.717,8,-5.804,1,0.0375,0.001,1.79E-06,0.113,0.422,141.904,4
3nHuKdFJZm78CoeBnDcFKe,Bad Dreams,Teddy Swims,46,-2,4,IE,30/12/2024,86,FALSE,184577,Bad Dreams,13/09/2024,0.707,0.68,8,-6.203,1,0.0884,0.274,0,0.0932,0.62,125.058,4
0IsIY8pfu1yaGkPUD7pkDx,Guess featuring billie eilish,"Charli xcx, Billie Eilish",47,2,3,IE,30/12/2024,82,FALSE,143330,Brat and it’s completely different but also still brat,11/10/2024,0.78,0.713,0,-4.493,1,0.0888,0.0167,0.206,0.144,0.615,130.034,4
1UHS8Rf6h5Ar3CDWRd3wjF,Bed Chem,Sabrina Carpenter,48,2,2,IE,30/12/2024,88,FALSE,171869,Short n' Sweet,23/08/2024,0.739,0.727,11,-5.968,0,0.0426,0.0678,0,0.104,0.676,94.99,4
6me7F0aaZjwDo6RJ5MrfBD,Evergreen,Richy Mitch & The Coal Miners,49,-1,1,IE,30/12/2024,84,FALSE,87000,RMCM,17/05/2017,0.555,0.216,3,-11.661,1,0.0721,0.557,0.00416,0.109,0.504,79.109,3
7vQbuQcyTflfCIOu3Uzzya,Jingle Bell Rock,Bobby Helms,50,-19,-46,IE,30/12/2024,95,FALSE,130973,Jingle Bell Rock/Captain Santa Claus (And His Reindeer Space Patrol),02/12/1957,0.754,0.424,2,-8.463,1,0.0363,0.643,0,0.0652,0.806,119.705,4
7ne4VBA60CxGM75vw0EYad,That’s So True,Gracie Abrams,1,0,4,IE,29/12/2024,95,TRUE,166300,The Secret of Us (Deluxe),18/10/2024,0.554,0.808,1,-4.169,1,0.0368,0.214,0,0.159,0.372,108.548,4
2262bWmqomIaJXwCRHr13j,Sailor Song,Gigi Perez,2,0,11,IE,29/12/2024,93,FALSE,211978,Sailor Song,26/07/2024,0.494,0.413,11,-10.432,1,0.0254,0.682,6.72E-05,0.193,0.273,94.938,4
35ISBknsCeZQtq66xABI9g,Messy,Lola Young,3,0,25,IE,29/12/2024,79,TRUE,284066,This Wasn't Meant For You Anyway,21/06/2024,0.798,0.562,9,-5.913,1,0.0375,0.11,0.00606,0.122,0.647,110.991,4
